sample_id,pond,date,chla,day,
DOBA5_220113,DOBA5,1/13/22,243.8,13-Jan,
DOBA5_220127,DOBA5,1/27/22,218.7,27-Jan,
DOBA5_220209,DOBA5,2/9/22,265.7,9-Feb,
DOBA7_210602,DOBA7,6/2/21,12.9,2-Jun,
DOBA7_210614,DOBA7,6/14/21,86.5,14-Jun,
DOBA7_210629,DOBA7,6/29/21,92,29-Jun,
DOBA7_210712,DOBA7,7/12/21,88.8,12-Jul,
DOBA7_210727,DOBA7,7/27/21,113.2,27-Jul,
DOBA7_210803,DOBA7,8/3/21,110.6,3-Aug,
DOBA7_220114,DOBA7,1/14/22,47,14-Jan,
DOBA7_220131,DOBA7,1/31/22,63.1,31-Jan,
DOBA7_220211,DOBA7,2/11/22,18.8,11-Feb,
DOBA8_210610,DOBA8,6/10/21,7.6,10-Jun,
DOBA8_210617,DOBA8,6/17/21,17,17-Jun,
DOBA8_210630,DOBA8,6/30/21,17.8,30-Jun,
DOBA8_210720,DOBA8,7/20/21,28.8,20-Jul,
DOBA8_210726,DOBA8,7/26/21,40.6,26-Jul,
DOBA8_210805,DOBA8,8/5/21,44,5-Aug,
DOBA8_220114,DOBA8,1/14/22,7,14-Jan,
DOBA8_220130,DOBA8,1/30/22,8,30-Jan,
DOBA8_220210,DOBA8,2/10/22,6.4,10-Feb,
ELV_210608,ELV,6/8/21,20.1,8-Jun,
ELV_210617,ELV,6/17/21,61.7,17-Jun,
ELV_210630,ELV,6/30/21,20.3,30-Jun,
ELV_210720,ELV,7/20/21,23.8,20-Jul,23.8
ELV_210726,ELV,7/26/21,28.4,26-Jul,28.4
ELV_210803,ELV,8/3/21,37.7,3-Aug,37.7
ELV_220114,ELV,1/14/22,44,14-Jan,44
ELV_220120,ELV,1/20/22,257.4,20-Jan,257.4
ELV_220210,ELV,2/10/22,89.9,10-Feb,89.9
HP_210610,HP,6/10/21,29,10-Jun,29
HP_210618,HP,6/18/21,11.1,18-Jun,11.1
HP_210629,HP,6/29/21,8.3,29-Jun,8.3
HP_210721,HP,7/21/21,14.6,21-Jul,
HP_210726,HP,7/26/21,12.1,26-Jul,
HP_210805,HP,8/5/21,6.2,5-Aug,
HP_220112,HP,1/12/22,1.9,12-Jan,
HP_220131,HP,1/31/22,5.3,31-Jan,
HP_220209,HP,2/9/22,7,9-Feb,
KP_210611,KP,6/11/21,48.8,11-Jun,
KP_210622,KP,6/22/21,136.8,22-Jun,
KP_210702,KP,7/2/21,74.3,2-Jul,
KP_210714,KP,7/14/21,269.8,14-Jul,
KP_210727,KP,7/27/21,63.3,27-Jul,
KP_210803,KP,8/3/21,35.3,3-Aug,
KP_220114,KP,1/14/22,246.5,14-Jan,
KP_220130,KP,1/30/22,495.7,30-Jan,
KP_220210,KP,2/10/22,268.8,10-Feb,
L60_210611,L60,6/11/21,6.3,11-Jun,
L60_210618,L60,6/18/21,1.8,18-Jun,
L60_210702,L60,7/2/21,8.2,2-Jul,
L60_210713,L60,7/13/21,223.3,13-Jul,
L60_210726,L60,7/26/21,45,26-Jul,
L60_210805,L60,8/5/21,52.2,5-Aug,
L60_220113,L60,1/13/22,16.7,13-Jan,
L60_220131,L60,1/31/22,46.2,31-Jan,
L60_220209,L60,2/9/22,155.3,9-Feb,
LM-ARB_210603,LM-ARB,6/3/21,91.1,3-Jun,
LM-ARB_210615,LM-ARB,6/15/21,133,15-Jun,
LM-ARB_210630,LM-ARB,6/30/21,76,30-Jun,
LM-ARB_210713,LM-ARB,7/13/21,157.2,13-Jul,
LM-ARB_210730,LM-ARB,7/30/21,163.4,30-Jul,
LM-ARB_210802,LM-ARB,8/2/21,76.1,2-Aug,
LM-ARB_220112,LM-ARB,1/12/22,37.8,12-Jan,
LM-ARB_220131,LM-ARB,1/31/22,39.9,31-Jan,
LM-ARB_220211,LM-ARB,2/11/22,18.8,11-Feb,
MDT_210610,MDT,6/10/21,9.2,10-Jun,
MDT_210617,MDT,6/17/21,60.5,17-Jun,
MDT_210630,MDT,6/30/21,37.4,30-Jun,
MDT_210720,MDT,7/20/21,36,20-Jul,
MDT_210726,MDT,7/26/21,25.4,26-Jul,
MDT_210805,MDT,8/5/21,37.3,5-Aug,
MDT_220114,MDT,1/14/22,132.4,14-Jan,
MDT_220130,MDT,1/30/22,249.8,30-Jan,
MDT_220210,MDT,2/10/22,160,10-Feb,
O-N_210611,O-N,6/11/21,69.6,11-Jun,
O-N_210622,O-N,6/22/21,36.1,22-Jun,
O-N_210702,O-N,7/2/21,53.1,2-Jul,
O-N_210714,O-N,7/14/21,35.2,14-Jul,
O-N_210727,O-N,7/27/21,46.2,27-Jul,
O-N_210803,O-N,8/3/21,51,3-Aug,
O-N_220114,O-N,1/14/22,11.6,14-Jan,
O-N_220130,O-N,1/30/22,19.7,30-Jan,
O-N_220210,O-N,2/10/22,11.1,10-Feb,
O-S_210611,O-S,6/11/21,17.7,11-Jun,
O-S_210622,O-S,6/22/21,14.1,22-Jun,
O-S_210702,O-S,7/2/21,26.8,2-Jul,
O-S_210714,O-S,7/14/21,7.1,14-Jul,
O-S_210727,O-S,7/27/21,28.2,27-Jul,
O-S_210803,O-S,8/3/21,53.3,3-Aug,
O-S_220114,O-S,1/14/22,3.4,14-Jan,
O-S_220130,O-S,1/30/22,14.7,30-Jan,
O-S_220210,O-S,2/10/22,5.8,10-Feb,
OPP-E_210602,OPP-E,6/2/21,21,2-Jun,
OPP-E_210614,OPP-E,6/14/21,75.4,14-Jun,
OPP-E_210629,OPP-E,6/29/21,157.8,29-Jun,
OPP-E_210712,OPP-E,7/12/21,191.1,12-Jul,
OPP-E_210730,OPP-E,7/30/21,215.2,30-Jul,
OPP-E_210803,OPP-E,8/3/21,377.8,3-Aug,
OPP-E_220112,OPP-E,1/12/22,246.6,12-Jan,
OPP-E_220131,OPP-E,1/31/22,601.6,31-Jan,
OPP-E_220211,OPP-E,2/11/22,451.2,11-Feb,
OPP-W_210602,OPP-W,6/2/21,71.3,2-Jun,
OPP-W_210614,OPP-W,6/14/21,548.6,14-Jun,
OPP-W_210629,OPP-W,6/29/21,158.2,29-Jun,
OPP-W_210712,OPP-W,7/12/21,488.8,12-Jul,
OPP-W_210730,OPP-W,7/30/21,359.5,30-Jul,
OPP-W_210803,OPP-W,8/3/21,335.1,3-Aug,
OPP-W_220112,OPP-W,1/12/22,370,12-Jan,
OPP-W_220131,OPP-W,1/31/22,366,31-Jan,
OPP-W_220211,OPP-W,2/11/22,466.8,11-Feb,
UM-ARB_210603,UM-ARB,6/3/21,127,3-Jun,
UM-ARB_210615,UM-ARB,6/15/21,173.5,15-Jun,
UM-ARB_210630,UM-ARB,6/30/21,108,30-Jun,
UM-ARB_210713,UM-ARB,7/13/21,137.3,13-Jul,
UM-ARB_210730,UM-ARB,7/30/21,127.9,30-Jul,
UM-ARB_210802,UM-ARB,8/2/21,91.8,2-Aug,
UM-ARB_220112,UM-ARB,1/12/22,21.9,12-Jan,
UM-ARB_220131,UM-ARB,1/31/22,5.5,31-Jan,
UM-ARB_220211,UM-ARB,2/11/22,15,11-Feb,
